paperId,author
a6dc30b886c5132aaa716a0494d043b9ebb8cb07,Neeraj Tiwary
a6dc30b886c5132aaa716a0494d043b9ebb8cb07,Shahrul Azman Mohd Noah
a6dc30b886c5132aaa716a0494d043b9ebb8cb07,Fariza Fauzi
a6dc30b886c5132aaa716a0494d043b9ebb8cb07,Tan Siok Yee
75841526f5f793aabc1c8895fda6201043fb46e8,Umar Tahir Kidwai
75841526f5f793aabc1c8895fda6201043fb46e8,Nadeem Akhtar
75841526f5f793aabc1c8895fda6201043fb46e8,Mohammad Nadeem
75841526f5f793aabc1c8895fda6201043fb46e8,Roobaea Alroobaea
481442415a7610e9da7ee3c8603d07b8f6b2df3d,Alejandro Ariza-Casabona
481442415a7610e9da7ee3c8603d07b8f6b2df3d,Ludovico Boratto
481442415a7610e9da7ee3c8603d07b8f6b2df3d,Maria Salamó
b11668ea517548fdac1fdc4e3ec9e50164de4c4c,Kathrin Wardatzky
b11668ea517548fdac1fdc4e3ec9e50164de4c4c,Oana Inel
b11668ea517548fdac1fdc4e3ec9e50164de4c4c,Luca Rossetto
b11668ea517548fdac1fdc4e3ec9e50164de4c4c,Abraham Bernstein
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,M. Krone
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,S. Lenti
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,I. Al-Hazwani
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,Turki S Alahmadi
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,Kathrin Wardatzky
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,Oana Inel
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,Mennatallah El-Assady
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,J. Bernard
5bb0150f1a73e174642675610038cc89bd4b3ca6,Marta Caro-Martínez
5bb0150f1a73e174642675610038cc89bd4b3ca6,Guillermo Jiménez-Díaz
5bb0150f1a73e174642675610038cc89bd4b3ca6,Juan A. Recio-García
618ed65eee6f1e67a60f6213431f4a6cf261c4ff,Ludovik Çoba
618ed65eee6f1e67a60f6213431f4a6cf261c4ff,R. Confalonieri
618ed65eee6f1e67a60f6213431f4a6cf261c4ff,M. Zanker
c82f338abf4a981c8e884dd048dfce927bec9f87,J. Hulstijn
c82f338abf4a981c8e884dd048dfce927bec9f87,I. Tchappi
c82f338abf4a981c8e884dd048dfce927bec9f87,A. Najjar
c82f338abf4a981c8e884dd048dfce927bec9f87,Reyhan Aydoğan
1be7b168f9921134be97640c474f748a71dc25ad,Giacomo Balloccu
1be7b168f9921134be97640c474f748a71dc25ad,Ludovico Boratto
1be7b168f9921134be97640c474f748a71dc25ad,G. Fenu
1be7b168f9921134be97640c474f748a71dc25ad,Mirko Marras
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Shendi Wang
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Haoyang Li
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Caleb Chen Cao
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Xiao-Hui Li
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Ng Ngai Fai
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Jianxin Liu
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Xun Xue
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,H. Song
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Jinyu Li
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Guangye Gu
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Lei Chen
0a6f0e30cca5fa3a291a55a4ddff44e569c89e97,Marta Caro-Martínez
0a6f0e30cca5fa3a291a55a4ddff44e569c89e97,Guillermo Jiménez-Díaz
0a6f0e30cca5fa3a291a55a4ddff44e569c89e97,Juan A. Recio-García
177427d07f2e7b54dbf9657d565cd51734eb0d10,Ninghao Liu
177427d07f2e7b54dbf9657d565cd51734eb0d10,Yong Ge
177427d07f2e7b54dbf9657d565cd51734eb0d10,Li Li
177427d07f2e7b54dbf9657d565cd51734eb0d10,X. Hu
177427d07f2e7b54dbf9657d565cd51734eb0d10,Rui Chen
177427d07f2e7b54dbf9657d565cd51734eb0d10,Soo-Hyun Choi
