paperId,year,domain
75841526f5f793aabc1c8895fda6201043fb46e8,2024,movie
0a6f0e30cca5fa3a291a55a4ddff44e569c89e97,2021,e-commerce
72986cada4a8269041f1b153b08c51f8707afd91,2023,movie
5f7e543af1fa5f5e836e9789335f9b23e576d2bc,2023,music
63a632afd5027eeb23fb18357c6eec414c4f4818,2022,e-commerce
229ac921a1ef8a9683821f024a45163f6dcfda94,2022,movie
1aeb8cce292705824987983a20dd29584f722749,2023,e-commerce
41f052ccaa811731f68f0abbef2c8a978a374f83,2022,movie
9ef432c5432c98587af495b819a594f1c4989711,2022,health
3986307b4a015ad4f6eac004d28e3bf4c77480db,2024,agriculture
596be14ea711f225964cf760d3f7453be433c057,2024,agriculture
938a96df8752749057746741fc7f40986d275bf8,2024,agriculture
a5cfbc209e3387b5e5c9956f347f7d0cbcc2de42,2025,agriculture
bae1214526f2dc712546fa4b887683bc0baafa3f,2025,health
3c97967c62cffe70d3880c03d05917596a7f59a1,2025,education
328e83f14b3258eef00605b086a335e663a17bd7,2024,agriculture
9784066a2acf67fcb3aa4eecddfe02415dec8c20,2024,e-commerce
b768705712fe81c7b4bef94dce957552361b82f6,2024,health
f203ca98725217c2df8b429bf33289a24f59f807,2024,social
f203ca98725217c2df8b429bf33289a24f59f807,2024,e-commerce
b4151feb1dd2f06888027a6db96369cf0b483bd9,2024,health
ea590185f9661c311f28b9b71d6902e6ca651a2a,2025,health
230de5e607efa30416bab29db654f9e14415b6ad,2025,health
01dedd96bd2d696e3d93582438f5e44a174064bd,2023,health
e632f1191b3c261cdae48698c97eb2e9a5a45c78,2021,health
a88055f98ea9d5171e8c32ca3199cececf772fdc,2025,education
8eac5a4671f8e797e1f7abfae2be4e6c6c99e2bd,2025,health
e42b9cf5367c882381746dac1767ee747a97217a,2025,e-commerce
5c8aec51a60d078b526a55e5b941984ef5111184,2025,health
a65b027ff2a70c336f1abbb164ec4bb8f8e5c670,2025,health
