paperId,title,year,venue,citationCount,referenceCount,abstract,authors,n_authors
a6dc30b886c5132aaa716a0494d043b9ebb8cb07,A Review of Explainable Recommender Systems Utilizing Knowledge Graphs and Reinforcement Learning,2024,IEEE Access,7,102,"This review paper addresses the research question of the significance of explainability in AI and the role of integrating KG and RL to enhance Explainable Recommender Systems (XRS). It surveys articles published from January 2015 to March 2024 on XRS, focusing on knowledge graphs (KGs) and reinforcement learning (RL) for achieving explainability in recommender systems. Employing a systematic methodology, it introduces a custom Python-based web scraper to efficiently navigate and extract relevant academic research papers from IEEE, ScienceDirect (Elsevier), ACM, and Springer online databases. The study encompasses the PRISMA methodology to conduct a thorough analysis and identify pertinent research works. This systematic literature review aims to provide a unified view of the field by reviewing eight existing XRS literature reviews and 29 pertinent XRS studies involving KG and RL from the specified period. It categorizes and analyses relevant research papers based on their implementation methodologies and explores significant contributions, encompassing perspectives on model-agnostic and model-intrinsic explanations.","[{'authorId': '2294449489', 'name': 'Neeraj Tiwary'}, {'authorId': '118523123', 'name': 'Shahrul Azman Mohd Noah'}, {'authorId': '2294423020', 'name': 'Fariza Fauzi'}, {'authorId': '9287076', 'name': 'Tan Siok Yee'}]",4
75841526f5f793aabc1c8895fda6201043fb46e8,Mitigating filter bubbles: Diverse and explainable recommender systems,2024,Journal of Intelligent &amp; Fuzzy Systems,2,11,"In recent years, the surge in online content has necessitated the development of intelligent recommender systems capable of offering personalized suggestions to users. However, these systems often encapsulate users within a “filter bubble”, limiting their exposure to a narrow range of content. This study introduces a novel approach to address this issue by integrating a novel diversity module into a knowledge graph-based explainable recommender system. Utilizing the Movie Lens 1M dataset, this research pioneers in fostering a more nuanced and transparent user experience, thereby enhancing user trust and broadening the spectrum of recommendations. Looking ahead, we aim to further refine this system by incorporating an explicit feedback loop and leveraging Natural Language Processing (NLP) techniques to provide users with insightful explanations of recommendations, including a comprehensive analysis of filter bubbles. This initiative marks a significant stride towards creating a more inclusive and informed recommendation landscape, promising users not only a wider array of content but also a deeper understanding of the recommendation mechanisms at play.","[{'authorId': '2298681384', 'name': 'Umar Tahir Kidwai'}, {'authorId': '2220166482', 'name': 'Nadeem Akhtar'}, {'authorId': '2298651522', 'name': 'Mohammad Nadeem'}, {'authorId': '49004436', 'name': 'Roobaea Alroobaea'}]",4
481442415a7610e9da7ee3c8603d07b8f6b2df3d,A Comparative Analysis of Text-Based Explainable Recommender Systems,2024,ACM Conference on Recommender Systems,3,51,"One way to increase trust among users towards recommender systems is to provide the recommendation along with a textual explanation. In the literature, extraction-based, generation-based, and, more recently, hybrid solutions based on retrieval-augmented generation have been proposed to tackle the problem of text-based explainable recommendation. However, the use of different datasets, preprocessing steps, target explanations, baselines, and evaluation metrics complicates the reproducibility and state-of-the-art assessment of previous work among different model categories for successful advancements in the field. Our aim is to provide a comprehensive analysis of text-based explainable recommender systems by setting up a well-defined benchmark that accommodates generation-based, extraction-based, and hybrid approaches. Also, we enrich the existing evaluation of explainability and text quality of the explanations with a novel definition of feature hallucination. Our experiments on three real-world datasets unveil hidden behaviors and confirm several claims about model patterns. Our source code and preprocessed datasets are available at https://github.com/alarca94/text-exp-recsys24.","[{'authorId': '2240551453', 'name': 'Alejandro Ariza-Casabona'}, {'authorId': '1824224', 'name': 'Ludovico Boratto'}, {'authorId': '2035668', 'name': 'Maria Salamó'}]",3
b11668ea517548fdac1fdc4e3ec9e50164de4c4c,Whom do Explanations Serve? A Systematic Literature Survey of User Characteristics in Explainable Recommender Systems Evaluation,2024,Trans. Recomm. Syst.,4,156,"Adding explanations to recommender systems is said to have multiple benefits, such as increasing user trust or system transparency. Previous work from other application areas suggests that specific user characteristics impact the users’ perception of the explanation. However, we rarely find this type of evaluation for recommender systems explanations. This paper addresses this gap by surveying 124 papers in which recommender systems explanations were evaluated in user studies. We analyzed their participant descriptions and study results where the impact of user characteristics on the explanation effects was measured. Our findings suggest that the results from the surveyed studies predominantly cover specific users who do not necessarily represent the users of recommender systems in the evaluation domain. This may seriously hamper the generalizability of any insights we may gain from current studies on explanations in recommender systems. We further find inconsistencies in the data reporting, which impacts the reproducibility of the reported results. Hence, we recommend actions to move toward a more inclusive and reproducible evaluation.","[{'authorId': '2325155946', 'name': 'Kathrin Wardatzky'}, {'authorId': '2692909', 'name': 'Oana Inel'}, {'authorId': '2266468283', 'name': 'Luca Rossetto'}, {'authorId': '2159592493', 'name': 'Abraham Bernstein'}]",4
1cb0d0397404f2d94e4b2d201034f108ec7fde6a,Interaction Tasks for Explainable Recommender Systems,2023,Eurographics Conference on Visualization,1,28,,"[{'authorId': '33828586', 'name': 'M. Krone'}, {'authorId': '2220681380', 'name': 'S. Lenti'}, {'authorId': '2217797563', 'name': 'I. Al-Hazwani'}, {'authorId': '41078761', 'name': 'Turki S Alahmadi'}, {'authorId': '2325155946', 'name': 'Kathrin Wardatzky'}, {'authorId': '2692909', 'name': 'Oana Inel'}, {'authorId': '1401917601', 'name': 'Mennatallah El-Assady'}, {'authorId': '2052846593', 'name': 'J. Bernard'}]",8
5bb0150f1a73e174642675610038cc89bd4b3ca6,A graph-based approach for minimising the knowledge requirement of explainable recommender systems,2023,Knowledge and Information Systems,7,64,"Traditionally, recommender systems use collaborative filtering or content-based approaches based on ratings and item descriptions. However, this information is unavailable in many domains and applications, and recommender systems can only tackle the problem using information about interactions or implicit knowledge. Within this scenario, this work proposes a novel approach based on link prediction techniques over graph structures that exclusively considers interactions between users and items to provide recommendations. We present and evaluate two alternative recommendation methods: one item-based and one user-based that apply the edge weight , common neighbours , Jaccard neighbours , Adar/Adamic , and Preferential Attachment link prediction techniques. This approach has two significant advantages, which are the novelty of our proposal. First, it is suitable for minimal knowledge scenarios where explicit data such as ratings or preferences are not available. However, as our evaluation demonstrates, this approach outperforms state-of-the-art techniques using a similar level of interaction knowledge. Second, our approach has another relevant feature regarding one of the most significant concerns in current artificial intelligence research: the recommendation methods presented in this paper are easily interpretable for the users, improving their trust in the recommendations.","[{'authorId': '1410523548', 'name': 'Marta Caro-Martínez'}, {'authorId': '83898594', 'name': 'Guillermo Jiménez-Díaz'}, {'authorId': '1389962946', 'name': 'Juan A. Recio-García'}]",3
618ed65eee6f1e67a60f6213431f4a6cf261c4ff,RecoXplainer: A Library for Development and Offline Evaluation of Explainable Recommender Systems,2022,IEEE Computational Intelligence Magazine,12,0,"Since recommender systems play an important role in our online experience today and are involved in a wide range of decisions, multiple stakeholders are requesting explanations for the corresponding algorithmic predictions. These demands—together with the benefits of explanations (e.g., trust, efficiency, and sometimes even persuasion)—have triggered significant interest from researchers in academia and in industry. Nonetheless, to the best of our knowledge, no comprehensive toolkit for development and evaluation of explainable recommender systems is available to the community yet. Instead, researchers are frequently faced with the challenge of re-implementing prior algorithms when creating and evaluating new approaches. This paper introduces recoXplainer, an easy-to-use, unified and extendable library that supports the development and evaluation of explainable recommender systems. recoXplainer includes several state-of-the-art black box algorithms, model-based and post-hoc explainability techniques, as well as offline evaluation metrics in order to assess the quality of the explanation algorithms.","[{'authorId': '51161531', 'name': 'Ludovik Çoba'}, {'authorId': '144833154', 'name': 'R. Confalonieri'}, {'authorId': '1694617', 'name': 'M. Zanker'}]",3
c82f338abf4a981c8e884dd048dfce927bec9f87,Metrics for Evaluating Explainable Recommender Systems,2023,EXTRAAMAS,5,0,,"[{'authorId': '145539910', 'name': 'J. Hulstijn'}, {'authorId': '51221370', 'name': 'I. Tchappi'}, {'authorId': '2297347', 'name': 'A. Najjar'}, {'authorId': '2060698', 'name': 'Reyhan Aydoğan'}]",4
1be7b168f9921134be97640c474f748a71dc25ad,Hands on Explainable Recommender Systems with Knowledge Graphs,2022,ACM Conference on Recommender Systems,7,26,"The goal of this tutorial is to present the RecSys community with recent advances on explainable recommender systems with knowledge graphs. We will first introduce conceptual foundations, by surveying the state of the art and describing real-world examples of how knowledge graphs are being integrated into the recommendation pipeline, also for the purpose of providing explanations. This tutorial will continue with a systematic presentation of algorithmic solutions to model, integrate, train, and assess a recommender system with knowledge graphs, with particular attention to the explainability perspective. A practical part will then provide attendees with concrete implementations of recommender systems with knowledge graphs, leveraging open-source tools and public datasets; in this part, tutorial participants will be engaged in the design of explanations accompanying the recommendations and in articulating their impact. We conclude the tutorial by analyzing emerging open issues and future directions. Website: https://explainablerecsys.github.io/recsys2022/.","[{'authorId': '2163452228', 'name': 'Giacomo Balloccu'}, {'authorId': '1824224', 'name': 'Ludovico Boratto'}, {'authorId': '40433308', 'name': 'G. Fenu'}, {'authorId': '28922901', 'name': 'Mirko Marras'}]",4
1379d7b6bab33147c2cf4e1e55fc5f73b4a00dcb,Tower Bridge Net (TB-Net): Bidirectional Knowledge Graph Aware Embedding Propagation for Explainable Recommender Systems,2022,IEEE International Conference on Data Engineering,7,24,"Recently, neural networks based models have been widely used for recommender systems (RS). Unfortunately, the existing neural network based RS solutions are often treated as black-boxes, which gain little trust and confidence from users. Thus, there is an increasing demand of explainability. Several explainable recommendation methods have been introduced to RS. However, there is a trade-off between explainability and performance among these methods. In this paper, we propose a novel framework, the Tower Bridge Net (TB-Net), using the proposed bidirectional embedding propagation approach to achieve both superior recommendation and explainability performances. Extensive validation on three public datasets shows that the performance of TB-Net dominates the state-of-the-art models. We quantitatively evaluate the explainability by using numerical metrics and experimentally prove that TB-Net achieves a significant improvement on explainability compared with existing methods. More importantly, TB-Net has been deployed and offers explainable recommendation service for the largest bank in China, Industrial and Commercial Bank of China Limited (ICBC). Results on a billion-scale dataset (1.2 billion nodes and edges) from ICBC show that TB-Net can provide both accurate recommendations and semantic explanations, and is very effective and deployable in practice.","[{'authorId': '2151225434', 'name': 'Shendi Wang'}, {'authorId': '2382824304', 'name': 'Haoyang Li'}, {'authorId': '3151540', 'name': 'Caleb Chen Cao'}, {'authorId': '2141165316', 'name': 'Xiao-Hui Li'}, {'authorId': '101750640', 'name': 'Ng Ngai Fai'}, {'authorId': '2180326741', 'name': 'Jianxin Liu'}, {'authorId': '2111808280', 'name': 'Xun Xue'}, {'authorId': '2115232192', 'name': 'H. Song'}, {'authorId': '2180539149', 'name': 'Jinyu Li'}, {'authorId': '2180234851', 'name': 'Guangye Gu'}, {'authorId': '2593276', 'name': 'Lei Chen'}]",11
