id,label,title,year
paper_32,Paper,ReasoningRec: Bridging Personalized Recommendations and Human-Interpretable Explanations through LLM Reasoning,2024
news,Domain,,
P. Bhattacharya,Author,,
Deng Pan,Author,,
paper_16,Paper,A Survey on Reinforcement Learning for Recommender Systems,2021
kg,ExplanationType,,
Yueyang Liu,Author,,
Huanhuan Chen,Author,,
Shijun Li,Author,,
Linhao Luo,Author,,
Xiangzhou Huang,Author,,
Zhumin Chen,Author,,
paper_27,Paper,Try This Instead: Personalized and Interpretable Substitute Recommendation,2020
Zexiang Chen,Author,,
Qiang Qu,Author,,
twitter,Dataset,,
Thi Ngoc Trang Tran,Author,,
Renqiang Luo,Author,,
paper_23,Paper,Towards a Comprehensive Human-Centred Evaluation Framework for Explainable AI,2023
Arnau Ramisa,Author,,
Lin Gui,Author,,
Qurat Ul Ain,Author,,
Brian Chu,Author,,
Lance Kennedy,Author,,
business,Domain,,
llm,Method,,
paper_6,Paper,RecAI: Leveraging Large Language Models for Next-Generation Recommender Systems,2024
Yongbo Wang,Author,,
Ciyuan Peng,Author,,
paper_1,Paper,Explainable Recommender Systems via Resolving Learning Representations,2020
Jun Xie,Author,,
paper_17,Paper,From Intrinsic to Counterfactual: On the Explainability of Contextualized Recommender Systems,2021
rouge,Metric,,
paper_14,Paper,"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",2022
Weiwei Sun,Author,,
Zuohui Fu,Author,,
Pengcheng Wu,Author,,
X. Hu,Author,,
Haiping Ma,Author,,
N. Tintarev,Author,,
paper_42,Paper,Neural Collaborative Filtering to Detect Anomalies in Human Semantic Trajectories,2024
M. Belyaev,Author,,
Baocheng Li,Author,,
paper_30,Paper,Asymmetrical Hierarchical Networks with Attentive Interactions for Interpretable Review-Based Recommendation,2019
vae,Method,,
paper_40,Paper,UIPC-MF: User-Item Prototype Connection Matrix Factorization for Explainable Collaborative Filtering,2023
social,Domain,,
Yanhua Yu,Author,,
f1,Metric,,
O. Nasraoui,Author,,
Xiangjue Dong,Author,,
Hossein Amiri,Author,,
Chen Zhu,Author,,
V. Soo,Author,,
Lisa Fiedler,Author,,
Jingrui He,Author,,
Olurotimi Seton,Author,,
K. Verbert,Author,,
M. Pisov,Author,,
paper_39,Paper,Towards Explainable Collaborative Filtering with Taste Clusters Learning,2023
Asal Meskin,Author,,
Meng Wang,Author,,
education,Domain,,
Yong Ge,Author,,
Avi Caciularu,Author,,
Qi Zhang,Author,,
David Allen,Author,,
Yunjun Gao,Author,,
Soumya K. Ghosh,Author,,
Ninghao Liu,Author,,
Xinni Zhang,Author,,
Gabriele Tolomei,Author,,
paper_43,Paper,An Explainable Autoencoder For Collaborative Filtering Recommendation,2019
Francisca Cattan,Author,,
accuracy,Metric,,
auc,Metric,,
gnn,Method,,
Haonan Wang,Author,,
Ruoyuan Gao,Author,,
mse,Metric,,
gpt,Method,,
paper_7,Paper,Chat-REC: Towards Interactive and Explainable LLMs-Augmented Recommender System,2023
Rui Chen,Author,,
Manoj Tiwari,Author,,
Manfred Wundara,Author,,
Qing Yang,Author,,
paper_34,Paper,Explainable Recommendation: A Survey and New Perspectives,2018
Millennium Bismay,Author,,
Qingyun Wu,Author,,
Hakim Sidahmed,Author,,
Hengshu Zhu,Author,,
Peizhu Qian,Author,,
movielens,Dataset,,
Jingxuan Wen,Author,,
Hongzhi Yin,Author,,
Shuai Yu,Author,,
paper_29,Paper,Interpretable Contextual Team-aware Item Recommendation: Application in Multiplayer Online Battle Arena Games,2020
recall,Metric,,
Tat-Seng Chua,Author,,
Andrés Villa,Author,,
Mehul Soni,Author,,
paper_2,Paper,Knowledge-aware Autoencoders for Explainable Recommender Systems,2018
W. M. Aalst,Author,,
paper_9,Paper,Leveraging Large Language Models in Conversational Recommender Systems,2023
Yang Wang,Author,,
paper_36,Paper,G-Refer: Graph Retrieval-Augmented Large Language Model for Explainable Recommendation,2025
Qiyao Peng,Author,,
Yao Zhou,Author,,
attention,Method,,
Shijie Geng,Author,,
Vito Bellini,Author,,
S. Muthukrishnan,Author,,
Yuxuan Lei,Author,,
Xu Huang,Author,,
bleu,Metric,,
Alexander Felfernig,Author,,
Dongjin Song,Author,,
Zhenning Tan,Author,,
Riccardo Porcedda,Author,,
amazon,Dataset,,
paper_15,Paper,A Survey on LLM-powered Agents for Recommender Systems,2025
paper_48,Paper,Collaborative Knowledge Fusion: A Novel Approach for Multi-task Recommender Systems via LLMs,2024
V. Gombolevskiy,Author,,
food,Domain,,
paper_22,Paper,Graph Learning,2025
Hanqi Yan,Author,,
Mohamed Amine Chatti,Author,,
counterfactual,ExplanationType,,
Guanhua Ye,Author,,
Yikun Xian,Author,,
Haofen Wang,Author,,
game,Domain,,
Seda Polat-Erdeniz,Author,,
paper_13,Paper,A Survey on Trustworthy Recommender Systems,2022
Jia Li,Author,,
Julian McAuley,Author,,
paper_10,Paper,The Dark Side of Explanations: Poisoning Recommender Systems with Counterfactual Examples,2023
Gerard de Melo,Author,,
Jeroen Ooge,Author,,
Marco Pegoraro,Author,,
Thai-trang Nguyen,Author,,
Viet-Man Le,Author,,
Youlin Xiang,Author,,
movie,Domain,,
Shuyu Guo,Author,,
Wenhua Zeng,Author,,
Shuyuan Xu,Author,,
Lei Pan,Author,,
Wei Cheng,Author,,
Haoyang Li,Author,,
Fan Lin,Author,,
e-redial,Dataset,,
Lu Chen,Author,,
Li Li,Author,,
Gabriel Schubiner,Author,,
Wei Xu,Author,,
